epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5339,1.36279,3.33052,1.54783,0.00759,0.92657,0.43863,0.29256,1.23266,2.89368,1.43092,0.000325,0.000325,0.000325
2,41.1956,1.22591,2.38346,1.44668,0.65717,0.47189,0.52176,0.31232,1.55427,2.34225,1.90977,0.000655075,0.000655075,0.000655075
3,55.7559,1.25453,2.01506,1.42983,0.46884,0.5697,0.53469,0.33291,1.40079,2.30339,1.62545,0.000981849,0.000981849,0.000981849
4,70.1739,1.22415,1.74471,1.38617,0.6879,0.65244,0.73852,0.46249,1.33774,2.85714,1.54232,0.00098515,0.00098515,0.00098515
5,85.6991,1.23731,1.63356,1.36829,0.83774,0.44616,0.6648,0.41386,1.39384,2.11591,1.5708,0.0009802,0.0009802,0.0009802
6,98.3603,1.16983,1.54943,1.35372,0.56435,0.58977,0.64956,0.42392,1.31741,1.83787,1.53485,0.00097525,0.00097525,0.00097525
7,110.871,1.15888,1.42536,1.30754,0.69676,0.66706,0.6834,0.46728,1.34047,1.49491,1.46748,0.0009703,0.0009703,0.0009703
8,124.26,1.20387,1.49655,1.35026,0.88357,0.6742,0.79604,0.56496,1.13848,1.35789,1.38597,0.00096535,0.00096535,0.00096535
9,140.132,1.17029,1.32303,1.30852,0.7842,0.69232,0.7761,0.55331,1.21718,1.38178,1.44431,0.0009604,0.0009604,0.0009604
10,157.365,1.14955,1.26765,1.29711,0.7685,0.71129,0.77934,0.50785,1.38225,1.36647,1.50122,0.00095545,0.00095545,0.00095545
11,169.844,1.11016,1.17217,1.27948,0.92946,0.56277,0.7369,0.52191,1.28073,1.62402,1.54837,0.0009505,0.0009505,0.0009505
12,182.322,1.07632,1.1346,1.24971,0.8134,0.85477,0.86201,0.57273,1.24379,1.09115,1.38161,0.00094555,0.00094555,0.00094555
13,194.775,1.07582,1.07869,1.24092,0.86742,0.71326,0.80219,0.54084,1.23952,1.28883,1.4185,0.0009406,0.0009406,0.0009406
14,207.261,1.06111,1.04151,1.24224,0.88434,0.783,0.86304,0.61465,1.1385,1.08225,1.3289,0.00093565,0.00093565,0.00093565
15,219.835,1.02579,0.98607,1.23249,0.8736,0.71895,0.78746,0.52865,1.39628,1.15158,1.59651,0.0009307,0.0009307,0.0009307
16,232.305,1.0409,0.95086,1.22096,0.86723,0.77989,0.85256,0.57903,1.19234,0.97476,1.37662,0.00092575,0.00092575,0.00092575
17,244.783,1.02864,0.97384,1.23087,0.87709,0.70976,0.85073,0.61215,1.07486,0.99388,1.30917,0.0009208,0.0009208,0.0009208
18,265.613,1.04591,0.977,1.24028,0.91966,0.71483,0.84417,0.56443,1.23999,1.1743,1.46293,0.00091585,0.00091585,0.00091585
19,293.361,1.02122,1.01332,1.24625,0.93328,0.71936,0.86515,0.61449,1.16101,1.06722,1.43019,0.0009109,0.0009109,0.0009109
20,314.529,0.98348,0.89295,1.19979,0.87422,0.76109,0.86608,0.61299,1.20918,1.02108,1.42413,0.00090595,0.00090595,0.00090595
21,336.011,1.01572,0.89682,1.22152,0.94932,0.71438,0.81174,0.59458,1.15971,1.02796,1.40027,0.000901,0.000901,0.000901
22,356.502,1.00797,0.83672,1.20422,0.89956,0.75708,0.83832,0.55931,1.26891,0.97446,1.39697,0.00089605,0.00089605,0.00089605
23,376.719,0.98022,0.82882,1.18774,0.7661,0.79251,0.82986,0.6285,1.04923,0.94589,1.29319,0.0008911,0.0008911,0.0008911
24,391.21,0.97243,0.82947,1.19541,0.85315,0.73229,0.79144,0.57925,1.19841,1.11879,1.4205,0.00088615,0.00088615,0.00088615
