epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8996,0.41487,0.23927,0.90508,0.88734,0.77777,0.82804,0.65476,0.97443,0.99585,1.32815,0.000325,0.000325,0.000325
2,35.3208,0.48503,0.28764,0.94684,0.90526,0.78364,0.81726,0.63028,1.0451,0.83663,1.41766,0.000593158,0.000593158,0.000593158
3,46.7538,0.54445,0.32273,0.9646,0.8569,0.7281,0.78761,0.59961,1.06412,0.91806,1.41917,0.000795317,0.000795317,0.000795317
4,66.9806,0.56896,0.33208,0.98702,0.91985,0.69985,0.80159,0.61176,1.06353,0.93557,1.36557,0.000703,0.000703,0.000703
5,88.5189,0.53488,0.30893,0.96867,0.91012,0.74265,0.81305,0.63576,0.9755,0.96254,1.37338,0.000604,0.000604,0.000604
6,107.118,0.55801,0.30826,0.98176,0.89847,0.77116,0.82575,0.63624,0.98084,0.88622,1.29891,0.000505,0.000505,0.000505
7,129.663,0.51166,0.28837,0.94926,0.90168,0.76052,0.83245,0.66355,1.01921,0.96429,1.34163,0.000406,0.000406,0.000406
8,145.379,0.46156,0.26512,0.92802,0.95709,0.7474,0.83566,0.67156,1.0021,0.92804,1.36342,0.000307,0.000307,0.000307
9,160.332,0.44336,0.25704,0.90705,0.9606,0.75366,0.85206,0.6726,0.97823,0.89615,1.35131,0.000208,0.000208,0.000208
10,170.958,0.43921,0.26141,0.9229,0.93005,0.76521,0.85632,0.66903,0.96718,0.85575,1.34957,0.000109,0.000109,0.000109
